order,"product id","product name",quantity,price,subtotal
2972500,1368,"Hakko Precision Flat Pliers",1,11.9500,11.95
2972500,1609,"Adafruit Perma Proto Half sized Breadboard PCB   Single",1,4.5000,4.5
2972500,3165,"Silicone Cover Stranded Core Wire   50ft 30AWG Red",1,4.9500,4.95
2972500,3167,"Silicone Cover Stranded Core Wire   50ft 30AWG Yellow",1,4.9500,4.95
2972500,3169,"Silicone Cover Stranded Core Wire   50ft 30AWG White",1,4.9500,4.95
2972500,4271,"Slide Potentiometer with Plastic Knob   35mm Long   10KΩ",3,1.9500,5.85
3092859,1609,"Adafruit Perma Proto Half sized Breadboard PCB   Single",1,4.5000,4.5
3092859,1724,"Premium Digital Stainless Steel Calipers",1,59.9500,59.95
3092859,1890,"Mini Metal Speaker w/ Wires   8 ohm 0.5W",1,1.9500,1.95
3092859,2348,"Adafruit DC & Stepper Motor HAT for Raspberry Pi   Mini Kit",1,22.5000,22.5
3092859,2697,"USB to 2.1mm Male Barrel Jack Cable",1,2.7500,2.75
3092859,2880,"2 pin JST SM Plug   Receptacle Cable Set",1,0.7500,0.75
3092859,3006,"Adafruit I2S 3W Class D Amplifier Breakout   MAX98357A",1,5.9500,5.95
3092859,3083,"Aluminum Heat Sink for Raspberry Pi 3   14 x 14 x 8mm",1,1.5000,1.5
3092859,3299,"Black Nylon Machine Screw and Stand off Set – M2.5 Thread",1,16.9500,16.95
3092859,3367,"Mini USB Microphone",1,5.9500,5.95
3110829,1466,"5V 4A (4000mA) switching power supply   UL Listed",1,14.9500,14.95
3110829,2310,"Adafruit Perma Proto HAT for Pi Mini Kit   No EEPROM",1,4.9500,4.95
3110829,4949,"Microsoft Machine Learning Kit for Lobe   Pi 4 Not Included",1,79.9500,79.95
3115259,658,"5V 10A switching power supply",1,29.9500,29.95
3115259,815,"Adafruit 16 Channel 12 bit PWM/Servo Driver   I2C interface",1,14.9500,14.95
3115259,1143,"Micro Servo   MG90D High Torque Metal Gear",16,8.9600,143.36
3115259,1157,"Aluminum Extrusion Slim T Nut for 20x20   M4 Thread   pack of 50",1,11.9500,11.95
3115259,1159,"Button Hex Machine Screw   M4 thread   10mm long   pack of 50",1,5.9500,5.95
3115259,1221,"Slotted Aluminum Extrusion   20mm x 20mm   610mm long",1,7.5000,7.5
3115259,1328,"2.1mm DC Barrel Jack to Alligator Clips",1,1.9500,1.95
3115259,4399,"STEMMA QT / Qwiic JST SH 4 Pin Cable   50mm Long",1,0.9500,0.95
3115259,4884,"Adafruit Feather RP2040",1,11.9500,11.95
3115259,5302,"Adafruit KB2040   RP2040 Kee Boar Driver",1,8.9500,8.95
